canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence,scope_role,primary_tournaments,supplemental_tournaments
12,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,12,,,,1,joinDOTA Masters IV,observed_name_only,primary_only,joinDOTA Masters IV,
13nu,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,13nu,,,,3,The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,observed_name_only,primary_only,The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,
1437,liquipedia_player_infobox.id,1437,https://liquipedia.net/dota2/1437,resolved_with_player_page_and_ids,high,87196890,76561198047462618 (derived),1437,1437 | Rose,Sivatheeban Sivanathapillai,,2,The International 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1,The International 2011
17,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,17,,,,1,joinDOTA Masters IV,observed_name_only,primary_only,joinDOTA Masters IV,
19,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,19,,,,1,joinDOTA Masters IV,observed_name_only,primary_only,joinDOTA Masters IV,
69,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,69,,,,1,joinDOTA Masters IV,observed_name_only,primary_only,joinDOTA Masters IV,
AA,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,AA,,,,1,joinDOTA Masters IV,teamcard_link | observed_name_only,primary_only,joinDOTA Masters IV,
aabBAA,liquipedia_player_infobox.id,AabBAA,https://liquipedia.net/dota2/AabBAA,resolved_with_player_page_and_ids,high,91191651,76561198051457379 (derived),aabBAA,aabBAA | AabBAA,ชานนท์ ชิวปรีชา,Chanon Chiwpreecha,4,The International 2011 | The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,The International 2011
Akke,liquipedia_player_infobox.id,Akke,https://liquipedia.net/dota2/Akke,resolved_with_player_page_and_ids,high,41288955,76561198001554683 (derived),Akke,Akke | Wilhelm,Joakim Akterhall,,5,The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl | StarLadder StarSeries Season 1 | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl | StarLadder StarSeries Season 1 | joinDOTA Masters I,
Alanter,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Alanter,,,,1,Razer Dota 2 Tournament,observed_name_only,primary_only,Razer Dota 2 Tournament,
Alex,liquipedia_player_infobox.id,Alex,https://liquipedia.net/dota2/Alex,resolved_with_player_page_and_ids,high,37105332,76561197997371060 (derived),Alex,Alex | Alex-,Alexander Reinhardt,,1,The Defense Season 1,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1,
ANdre,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,ANdre | Andre,,,,4,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,observed_name_only,primary_only,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,
AngeL,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,8517055,76561197968782783 (derived),AngeL,,,,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1 | D2E Challenge,observed_name_only | manual_override_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1 | D2E Challenge,The International 2011
ARS,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,89425982,76561198049691710 (derived),ARS,,,,2,Electronic Sports World Cup 2011 | WCG Asian Championship 2011,observed_name_only | manual_override_account_id,primary_only,Electronic Sports World Cup 2011 | WCG Asian Championship 2011,
Artstyle,liquipedia_player_infobox.id,Artstyle,https://liquipedia.net/dota2/Artstyle,resolved_with_player_page_and_ids,high,176184718,76561198136450446 (derived),Artstyle | ArtStyle,Artstyle | diesel,Іван Антонов,Ivan Antonov,2,The International 2011 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,StarLadder StarSeries Season 1,The International 2011
ast0n,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,ast0n,,,,2,Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011 | DreamHack Winter 2011,
